00000 | X=FFFF Y=FFFF Z=FFFF | jmp      00062
00062 | X=FFFF Y=FFFF Z=FFFF | eor      r1, r1
00064 | X=FFFF Y=FFFF Z=FFFF | out      $3F, r1
00066 | X=FFFF Y=FFFF Z=FFFF | ldi      r28, $FF
00068 | X=FFFF Y=FFFF Z=FFFF | ldi      r29, $EF
0006A | X=FFFF Y=EFFF Z=FFFF | out      $3E, r29
0006C | X=FFFF Y=EFFF Z=FFFF | out      $3D, r28
0006E | X=FFFF Y=EFFF Z=FFFF | ldi      r17, $00
00070 | X=FFFF Y=EFFF Z=FFFF | ldi      r26, $60
00072 | X=FF60 Y=EFFF Z=FFFF | ldi      r27, $00
00074 | X=0060 Y=EFFF Z=FFFF | ldi      r30, $04
00076 | X=0060 Y=EFFF Z=FF04 | ldi      r31, $01
00078 | X=0060 Y=EFFF Z=0104 | ldi      r16, $FF
0007A | X=0060 Y=EFFF Z=0104 | inc      r16
0007C | X=0060 Y=EFFF Z=0104 | out      $3B, r16
0007E | X=0060 Y=EFFF Z=0104 | rjmp     $0088
00088 | X=0060 Y=EFFF Z=0104 | cpi      r26, $60
0008A | X=0060 Y=EFFF Z=0104 | cpc      r27, r17
0008C | X=0060 Y=EFFF Z=0104 | brne     $0080
0008E | X=0060 Y=EFFF Z=0104 | ldi      r17, $00
00090 | X=0060 Y=EFFF Z=0104 | ldi      r26, $60
00092 | X=0060 Y=EFFF Z=0104 | ldi      r27, $00
00094 | X=0060 Y=EFFF Z=0104 | rjmp     $0098
00098 | X=0060 Y=EFFF Z=0104 | cpi      r26, $62
0009A | X=0060 Y=EFFF Z=0104 | cpc      r27, r17
0009C | X=0060 Y=EFFF Z=0104 | brne     $0096
00096 | X=0060 Y=EFFF Z=0104 | st       X+, r1
00098 | X=0061 Y=EFFF Z=0104 | cpi      r26, $62
0009A | X=0061 Y=EFFF Z=0104 | cpc      r27, r17
0009C | X=0061 Y=EFFF Z=0104 | brne     $0096
00096 | X=0061 Y=EFFF Z=0104 | st       X+, r1
00098 | X=0062 Y=EFFF Z=0104 | cpi      r26, $62
0009A | X=0062 Y=EFFF Z=0104 | cpc      r27, r17
0009C | X=0062 Y=EFFF Z=0104 | brne     $0096
0009E | X=0062 Y=EFFF Z=0104 | ldi      r17, $00
000A0 | X=0062 Y=EFFF Z=0104 | ldi      r28, $62
000A2 | X=0062 Y=EF62 Z=0104 | ldi      r29, $00
000A4 | X=0062 Y=0062 Z=0104 | rjmp     $00B0
000B0 | X=0062 Y=0062 Z=0104 | cpi      r28, $60
000B2 | X=0062 Y=0062 Z=0104 | cpc      r29, r17
000B4 | X=0062 Y=0062 Z=0104 | brne     $00A6
000A6 | X=0062 Y=0062 Z=0104 | sbiw     r28, $02
000A8 | X=0062 Y=0060 Z=0104 | mov      r31, r29
000AA | X=0062 Y=0060 Z=0004 | mov      r30, r28
000AC | X=0062 Y=0060 Z=0060 | call     000F4
000F4 | X=0062 Y=0060 Z=0060 | lpm      r0, Z
000F6 | X=0062 Y=0060 Z=0060 | adiw     r30, $01
000F8 | X=0062 Y=0060 Z=0061 | push     r0
000FA | X=0062 Y=0060 Z=0061 | lpm      r0, Z
000FC | X=0062 Y=0060 Z=0061 | push     r0
000FE | X=0062 Y=0060 Z=0061 | ret     
000EA | X=0062 Y=0060 Z=0061 | sts      r1, $0060
000EE | X=0062 Y=0060 Z=0061 | ret     
000B0 | X=0062 Y=0060 Z=0061 | cpi      r28, $60
000B2 | X=0062 Y=0060 Z=0061 | cpc      r29, r17
000B4 | X=0062 Y=0060 Z=0061 | brne     $00A6
000B6 | X=0062 Y=0060 Z=0061 | call     000C2
000C2 | X=0062 Y=0060 Z=0061 | ldi      r24, $17
000C4 | X=0062 Y=0060 Z=0061 | sts      r24, $0061
